gene	switch type	switch mean time	switch standard deviation	switch strength
LHY	increase	13.2024	0.28924	0.59181
LHY	decrease	20.1536	0.25635	0.76783
LHY	increase	37.719	0.37191	0.36923
LHY	decrease	44.3248	0.35754	0.69477
CCA1	increase	13.9937	0.52831	0.58824
CCA1	decrease	18.5176	0.57335	0.58871
CCA1	increase	35.9765	0.56895	0.16708
CCA1	increase	37.9516	0.7973	0.31731
CCA1	decrease	43.7034	0.48737	0.15639
PRR9	increase	17.4221	0.6956	0.26409
PRR9	decrease	21.0136	0.55705	0.18204
PRR9	decrease	23.3388	0.94917	0.31232
PRR9	increase	39.3058	0.99568	0.49581
PRR7	increase	17.5378	0.41172	0.5702
PRR7	decrease	20.4032	0.35599	0.19652
PRR7	decrease	24.9573	0.72623	0.42269
PRR7	increase	40.7309	0.72779	0.31461
PRR7	increase	43.2795	0.50019	0.16081
PRR5	decrease	10.9314	0.59586	0.31097
PRR5	increase	22.6571	0.42289	0.65748
PRR5	decrease	25.9228	0.31507	0.69473
PRR5	increase	45.7185	0.25745	0.50884
TOC1	decrease	4.4543	0.36003	0.39911
TOC1	increase	22.731	0.78638	0.47345
TOC1	decrease	29.9844	0.62124	0.36251
GI	increase	21.7633	0.34889	0.62019
GI	decrease	25.832	0.42435	0.63679
GI	increase	45.2973	0.32783	0.62489
LUX	decrease	9.7048	0.4957	0.21953
LUX	increase	23.1765	0.37506	0.61641
LUX	decrease	26.3431	0.40055	0.61872
ELF4	decrease	5.0675	0.52934	0.30084
ELF4	increase	23.6854	0.39689	0.5954
ELF4	decrease	28.2374	0.69928	0.49995
ELF3	increase	29.3118	0.68089	0.14688
